"Network","Reciprocity","AveragePathLength","Transitivity"
"Empirical: Friendship Network",0.612173913043478,2.50512581547064,0.448622881355932
"Random: Friendship Network 1",0.115732368896926,2.3219944082013,0.287155713116989
"Random: Friendship Network 2",0.204946996466431,2.27726001863933,0.277144064216308
"Random: Friendship Network 3",0.135714285714286,2.30638397017707,0.29295475653443
"Random: Friendship Network 4",0.15929203539823,2.29892823858341,0.286706869428422
"Random: Friendship Network 5",0.128342245989305,2.29986020503262,0.284527107241789
"Random: Friendship Network 6",0.144366197183099,2.31360671015843,0.292479108635098
"Random: Friendship Network 7",0.180530973451327,2.31081081081081,0.310580204778157
"Random: Friendship Network 8",0.166371681415929,2.27023189777567,0.284419116694729
"Random: Friendship Network 9",0.134038800705467,2.26840633737185,0.309452497903438
"Random: Friendship Network 10",0.162544169611307,2.27726001863933,0.306418746816098
